Date,googl,googl,googl,googl,googl
2017-10-12,49.98273849487305,50.275481264950706,49.756593842318146,49.892778138435666,30614000
2017-10-13,50.09307861328125,50.43552255864473,50.05281941843778,50.154709271074495,26552000
2017-10-16,50.166629791259766,50.29833957079075,49.77746519854123,50.18054626764828,21420000
2017-10-17,50.24864196777344,50.42558220406887,50.00261988276107,50.0717055234337,20260000
2017-10-18,50.33512496948242,50.51255815955314,49.966334528092496,50.251129359265796,25596000
2017-10-19,49.793373107910156,50.065741706093796,49.56772898857625,49.93800588443074,34284000
2017-10-20,49.95391082763672,50.13184075943584,49.81474226580223,50.05231965891457,32120000
2017-10-23,48.98322677612305,49.98969133468085,48.86195246281778,49.9593708603769,32786000
2017-10-24,49.129852294921875,49.16812450391774,48.56275394240443,49.030946714099606,28902000
2017-10-25,49.27747344970703,49.425086713957526,48.59456871279108,49.01951805700336,30574000
2017-10-26,49.275474548339844,50.025477823508645,49.22825711966671,49.6258739792722,47396000
2017-10-27,51.37538146972656,52.86395532234745,51.03641477344335,51.24218144802035,103682000
2017-10-30,51.34854507446289,51.68154701999788,50.81176344192695,51.15122687958418,46804000
2017-10-31,51.34407424926758,51.73970036777613,51.00908150308563,51.34208726445838,30326000
2017-11-01,51.81922149658203,52.08065407430532,51.39178469242032,51.50709426621917,43262000
2017-11-02,51.837615966796875,51.96435830412401,51.12638153170754,51.68950595741259,26694000
2017-11-03,52.18651580810547,52.21981675969089,51.57319357942401,51.826674416435004,27770000
2017-11-06,51.82320022583008,52.31574874255743,51.78940252364758,52.14228951573862,18294000
2017-11-07,52.30580139160156,52.35649983615923,51.839102680877645,52.16961710305677,26104000
2017-11-08,52.59904479980469,52.81773066386966,52.040394959791975,52.189498440933264,24276000
2017-11-09,52.073692321777344,52.230747522714395,51.483728554154844,52.08760879740241,35892000
2017-11-10,51.896263122558594,52.01952443708699,51.750636852849965,51.88234664485235,19442000
2017-11-13,51.749637603759766,52.12438896772682,51.653215762956,51.72975638182591,18814000
2017-11-14,51.77151107788086,51.80431528700721,51.15967901886606,51.576680391843176,21012000
2017-11-15,51.511566162109375,51.671605646265384,51.230749101603344,51.44148703151615,18106000
2017-11-16,52.11096954345703,52.274490035252526,51.59059192292787,51.62786684430045,23768000
2017-11-17,51.485721588134766,52.23671840595118,51.37836753153693,52.17707852738205,26712000
2017-11-20,51.42458724975586,51.62538266116448,51.326174632674906,51.49118536148833,17526000
2017-11-21,52.20193099975586,52.206405507755406,51.64725885387292,51.69198876604467,22206000
2017-11-22,52.282440185546875,52.456892879426654,52.05033081187659,52.244664727206,14538000
2017-11-24,52.511070251464844,52.6875137275946,52.282441885294084,52.40520644096022,16492000
2017-11-27,53.28095245361328,53.332147644739315,52.42409185451936,52.612961573770185,35430000
2017-11-28,52.84755325317383,53.67807111483268,52.41266147330828,53.379363620874045,36424000
2017-11-29,51.55978012084961,52.622904218428445,51.175582953453805,52.49417490370216,55866000
2017-11-30,51.499637603759766,51.895764247889794,51.19645937585446,51.6870170908577,45092000
2017-12-01,50.94795227050781,51.55282230937545,50.54188689077826,51.213358841469756,37762000
2017-12-04,50.2918815612793,51.25958106736146,50.160171772627905,51.08363432372627,38778000
2017-12-05,50.67607879638672,51.524987708121664,49.81723116879461,50.24814522117589,38998000
2017-12-06,51.32817077636719,51.669124476906894,50.462857851915665,50.5229982699834,28710000
2017-12-07,51.91714096069336,52.13334312434652,51.45938740748517,51.49467535007946,30866000
2017-12-08,52.15620040893555,52.506099302378495,51.98124717025866,52.27697418872354,31170000
2017-12-11,52.28493118286133,52.48522987165888,51.89477305955912,52.24218825718403,23254000
2017-12-12,52.125885009765625,52.80829295560057,51.9320478142733,52.1870189208288,33882000
2017-12-13,52.256099700927734,52.45937884739451,52.017032079152166,52.29039414579875,27680000
2017-12-14,52.55828857421875,53.03592328293886,52.36594163392161,52.45987974633129,30962000
2017-12-15,53.28045654296875,53.44199005759562,52.688509529321905,52.87190745967071,63760000
2017-12-18,53.931060791015625,54.00064317963747,53.199448426115225,53.50163317443478,30292000
2017-12-19,53.667137145996094,53.9250925051291,53.293876002975566,53.82817391362749,26350000
2017-12-20,53.357994079589844,53.73920695265486,53.111471466852585,53.72380023734766,28728000
2017-12-21,53.22330093383789,53.55481265145381,53.131353594647145,53.44894883524104,25640000
2017-12-22,53.124393463134766,53.26653870538507,53.06375630342649,53.18105286156896,17788000
2017-12-26,52.97479248046875,53.12439650767616,52.61644129340612,53.113460507512265,18376000
2017-12-27,52.693973541259766,53.095071430402996,52.60351644186565,53.01206931559948,22324000
2017-12-28,52.48274612426758,52.92459618877644,52.355010301528324,52.795866873620234,19884000
2017-12-29,52.35600280761719,52.58711871670307,52.3212116139001,52.45988343452506,23606000
2018-01-02,53.340599060058594,53.47827359576773,52.33711865454856,52.33711865454856,31766000
2018-01-03,54.250640869140625,54.47827575768503,53.35153406119346,53.376382746449934,31318000
2018-01-04,54.46137619018555,54.874896544716236,54.386826340846945,54.52748135414892,26052000
2018-01-05,55.18354797363281,55.34706848404391,54.76157913105354,54.84358775936466,30250000
2018-01-08,55.37837600708008,55.62440188021342,55.169132103543284,55.21883326596616,24644000
2018-01-09,55.30780029296875,55.588617359826586,55.079668657769695,55.588617359826586,26808000
2018-01-10,55.17609405517578,55.307307104619035,54.86993153712681,55.02002852687083,20734000
2018-01-11,55.271018981933594,55.4101837460235,54.99417969223573,55.28394196602129,22424000
2018-01-12,56.19547653198242,56.227780201148285,55.07022510411957,55.174101933927034,38586000
2018-01-16,56.197959899902344,57.10154118551692,55.99716447998305,56.675594615462074,36462000
2018-01-17,56.61545944213867,56.62639165014283,55.83961015789258,56.479275148603776,27830000
2018-01-18,56.45989227294922,56.68951415101649,55.88782266659566,56.627883494848916,27498000
2018-01-19,56.834144592285156,56.8480610691724,56.28742423230509,56.56227654680606,30552000
2018-01-22,57.86098861694336,57.99617941971216,56.75064712382242,56.85005324113938,29550000
2018-01-23,58.45790481567383,58.57420788321382,58.014564544912965,58.182059011878806,39138000
2018-01-24,58.21535873413086,58.99866296789218,58.02201830247675,58.895779633088424,37128000
2018-01-25,58.7546272277832,58.89677626868036,58.24269804920715,58.68355460331244,29984000
2018-01-26,59.024009704589844,59.024009704589844,58.05333355553834,59.02251946607175,42170000
2018-01-29,58.9703369140625,59.54290326003664,58.85005608029781,59.045884046820824,31494000
2018-01-30,58.517547607421875,59.042399746029126,58.3753985732343,58.534945099055044,37338000
2018-01-31,58.75859832763672,58.96237800036996,58.25561442942866,58.83762267411533,36022000
2018-02-01,58.727291107177734,59.018547427996964,58.11943682599137,58.44896156313821,73514000
2018-02-02,55.62638854980469,56.227781333212185,55.2272814302096,56.03493763886127,117842000
2018-02-05,52.80282211303711,55.417144172377625,52.52200884296614,54.70242880178122,83550000
2018-02-06,53.898258209228516,54.044877975969825,51.193478819119015,51.39079703621286,76630000
2018-02-07,52.45590591430664,54.00262949116928,52.41664021266109,53.92509537223673,51942000
2018-02-08,50.08512496948242,52.87936401239792,49.93552094259068,52.67757509163033,66792000
2018-02-09,52.001625061035156,52.272499603342936,49.552810596970026,50.98820222766436,98360000
2018-02-12,52.413658142089844,52.96087525770654,51.962862873995164,52.51852846673467,56240000
2018-02-13,52.392784118652344,52.74467381294293,52.03393618570592,52.18701743613438,31586000
2018-02-14,53.315250396728516,53.452924933885136,52.17707971268115,52.40173033871213,41304000
2018-02-15,54.2426872253418,54.378871515106866,53.04337891621364,53.84954486319156,37396000
2018-02-16,54.44845199584961,55.08513267762839,54.252127298742266,54.343081140145614,39948000
2018-02-20,54.85054397583008,55.48175670870799,54.17509428809936,54.312272076437715,33754000
2018-02-21,55.35551834106445,56.471327909766245,55.045378059560356,55.12440621257393,41486000
2018-02-22,55.16415786743164,55.93751959214549,54.928074514719384,55.6248956192097,28010000
2018-02-23,56.0682373046875,56.11346775012881,55.0915964088052,55.59954781047285,25292000
2018-02-26,56.84408950805664,56.86893819386203,56.13036760323586,56.25561590052749,30912000
2018-02-27,55.54239273071289,56.87142387051713,55.50660804578497,56.84408766264965,42964000
2018-02-28,54.866943359375,56.04637048168498,54.82121995858662,55.765553416766714,49292000
2018-03-01,53.25113296508789,55.23225150557632,53.04635978276631,55.14626891402153,55338000
2018-03-02,53.88383865356445,54.02051968783795,52.19248242758911,52.583634008346884,50162000
2018-03-05,54.41167068481445,54.73075614878026,53.29387427666091,53.58513057986181,28648000
2018-03-06,54.71683883666992,54.95193248468045,54.39874686988049,54.7764825024262,23382000
2018-03-07,55.41962814331055,55.47728482807082,54.17061864294365,54.31525141309337,30748000
2018-03-08,56.132354736328125,56.23473753400784,55.526984213425294,55.526984213425294,33862000
2018-03-09,57.69597625732422,57.7039279880955,56.37639089657869,56.63533595662131,42662000
2018-03-12,57.94896697998047,58.55682131470235,57.614470959528404,57.90522676781076,44306000
2018-03-13,56.65571594238281,58.548864981866465,56.390309380649626,58.24220194236929,43140000
2018-03-14,57.1020393371582,57.64229821120022,56.776989111211506,56.94846134342193,41870000
2018-03-15,57.187522888183594,57.77848018486501,56.44448163437811,57.135834743481716,33382000
2018-03-16,56.382850646972656,57.495675805463875,56.23076289879817,57.42311294645653,58656000
2018-03-19,54.67559814453125,55.634841650244105,54.12141895433363,55.55482379637503,63656000
2018-03-20,54.4633674621582,54.94796044704399,53.79835322275647,54.59258973015725,54598000
2018-03-21,54.3739013671875,55.10452019963102,54.03642490488909,54.302828743838,44898000
2018-03-22,52.34358215332031,53.87290828260624,52.16912564060532,53.678574337334204,69312000
2018-03-23,51.021507263183594,53.02101688343725,50.93800839851188,52.25511008579325,49880000
2018-03-26,52.390296936035156,52.64775555992921,50.22776735468965,52.216837714705335,65984000
2018-03-27,50.046852111816406,52.90968380364253,49.583630605618474,52.87787308797283,60816000
2018-03-28,49.959373474121094,50.94396987817355,48.90668871775685,49.79685026293356,77698000
2018-03-29,51.547847747802734,52.090097393652826,49.90271540967147,50.25907960175081,69338000
2018-04-02,50.32965087890625,51.666633617779866,49.41613094713952,51.074682864435005,65068000
2018-04-03,50.63035583496094,50.944473886466206,49.565244688709704,50.504610781893916,51322000
2018-04-04,51.178565979003906,51.32916349903809,49.5284623350267,49.613948183991845,50724000
2018-04-05,51.32419204711914,52.02349692795792,50.89476823525984,52.00759346587592,35836000
2018-04-06,50.19645690917969,51.491189838828895,50.01255843479986,50.85003459740025,40134000
2018-04-09,50.70043182373047,51.918127320917215,50.65619487103844,50.697944300932086,33220000
2018-04-10,51.51604080200195,51.750137178728686,50.467826733565126,51.20590054840022,36620000
2018-04-11,50.94744873046875,51.484727125389504,50.65619620587564,51.29238017832689,34060000
2018-04-12,51.55530548095703,51.92111166189601,50.996659389459715,51.26604371914165,32896000
2018-04-13,51.49317932128906,52.33513003242517,51.200436537008954,52.0324485318383,25410000
2018-04-16,51.99318313598633,52.25809296582503,51.38781254732558,51.96584692603647,29776000
2018-04-17,53.64626693725586,53.92658727367817,52.53940639967502,52.743682853424176,54584000
2018-04-18,53.44894790649414,53.77747534935068,53.206899801362226,53.628868612289025,31126000
2018-04-19,54.14775466918945,54.54835200881911,53.13234484368087,53.13234484368087,39884000
2018-04-20,53.54487228393555,54.41117484780803,53.28542669034655,53.89030046791669,42434000
2018-04-23,53.37041473388672,54.07568810262924,53.01604133394229,53.82618122926969,69590000
2018-04-24,50.827171325683594,52.90719545964243,50.34108812661568,52.64427263711792,128220000
2018-04-25,50.844573974609375,51.494674485318036,50.547352883917675,51.18055643894618,57860000
2018-04-26,51.85451126098633,52.287416080182766,50.71832381239791,51.35301754888472,50926000
2018-04-27,51.265045166015625,52.27150983288331,51.07319875261639,51.96534733178921,40746000
2018-04-30,50.62538146972656,51.608980595588264,50.61146499308739,51.41265968413321,34492000
2018-05-01,51.727272033691406,51.77597970323424,50.22925618623577,50.512060234075776,35326000
2018-05-02,50.99665832519531,51.88781341543905,50.85301904371848,51.39178769183862,34698000
2018-05-03,51.00907516479492,51.22726806307639,50.094064981899045,50.962855021989746,39282000
2018-05-04,52.23671340942383,52.28045361374045,50.59903617312821,50.676570283025214,36892000
2018-05-07,52.657196044921875,52.9325451080232,52.20043603451245,52.38035674327428,34400000
2018-05-08,52.613956451416016,52.943977930669085,52.268528256584716,52.91365745373982,26030000
2018-05-09,54.12290573120117,54.37390286154543,52.788907098984005,52.88781647093076,47160000
2018-05-10,54.94397735595703,55.139805307684234,54.367933830159096,54.42359973514826,36414000
2018-05-11,54.84010314941406,55.11992671814422,54.53394065735139,54.69248990330289,30504000
2018-05-14,55.000144958496094,55.57420151177602,54.910681353312505,54.94894976782159,39338000
2018-05-15,53.92012405395508,54.62837796155574,53.61743877160701,54.51803963368327,35738000
2018-05-16,53.88135528564453,54.39279152473808,53.75909125657226,53.931060241544394,25628000
2018-05-17,53.740699768066406,54.22479600170925,53.500141889838645,53.75064227593559,25738000
2018-05-18,53.16316223144531,53.36644518531905,52.91664339852014,52.98224802432867,35482000
2018-05-21,53.877376556396484,54.339107798799965,53.57866906096186,53.628370220515286,25180000
2018-05-22,53.44497299194336,54.26455871906535,53.293381977808146,54.16515639161356,22226000
2018-05-23,53.974300384521484,54.07569349006158,53.02996309350872,53.18105736342723,23740000
2018-05-24,53.948944091796875,54.031946200940226,53.295366471538365,54.021013993865424,20604000
2018-05-25,53.880855560302734,54.153720888639405,53.807299206836525,54.00362012074548,22224000
2018-05-29,53.08512878417969,53.74467498530226,52.83711593276897,53.47926464192192,36076000
2018-05-30,53.55232620239258,53.62787332981411,53.00957983412617,53.35401451891663,28686000
2018-05-31,54.672115325927734,55.16913455616344,53.5786745361915,53.77747919472114,79368000
2018-06-01,56.41168212890625,56.568741144665765,55.26903313897665,55.31177985629617,63202000
2018-06-04,57.30830383300781,57.547868216396,56.51108307286517,56.585636713300694,44754000
2018-06-05,57.20790100097656,57.70889794788969,57.03096456740496,57.388818987777846,32964000
2018-06-06,57.005615234375,57.391302607051436,56.47728587355588,57.294880763882325,34934000
2018-06-07,56.382850646972656,56.95193594124767,55.97032381631787,56.887821558926575,36108000
2018-06-08,56.2978630065918,56.599550987987506,55.82668598919252,56.223309369057596,27284000
2018-06-11,56.704917907714844,57.044881887268296,56.23275119115968,56.30929181318754,24796000
2018-06-12,57.06725311279297,57.0950860693166,56.71088888648044,56.71088888648044,26092000
2018-06-13,56.870426177978516,57.43752830061235,56.828180001023945,57.2705267855548,34302000
2018-06-14,57.65969467163086,57.95194068445614,57.18702741460904,57.267049052193734,35422000
2018-06-15,57.61794662475586,57.84856198986258,57.34061057442165,57.65025029470578,44438000
2018-06-18,58.826202392578125,58.853538601682764,57.20691214669361,57.290907758828006,33038000
2018-06-19,58.58315658569336,58.78792597425983,57.734247717565665,58.15671327097354,47282000
2018-06-20,58.850547790527344,59.716357370026635,58.74915848857291,58.81227937720831,51686000
2018-06-21,58.1234130859375,59.161684641185204,57.82718931088118,58.92212405780654,44966000
2018-06-22,58.11595916748047,58.399756709428964,57.636830408022405,58.22530399952166,34220000
2018-06-25,56.62440490722656,57.45492281895143,55.661179924688234,57.40571840283361,57682000
2018-06-26,56.29338836669922,57.00163844171985,56.113467661475454,56.865954689521296,34688000
2018-06-27,55.51406478881836,56.96884101410897,55.50213529614601,56.461382540848284,34538000
