Datetime,msft,msft,msft,msft,msft
2025-07-31 18:40:00+00:00,534.3699951171875,534.4000244140625,533.6300048828125,533.6900024414062,172743
2025-07-31 18:45:00+00:00,534.22998046875,534.5999755859375,534.1300048828125,534.344970703125,187897
2025-07-31 18:50:00+00:00,534.5999755859375,534.8900146484375,534.1799926757812,534.1799926757812,242898
2025-07-31 18:55:00+00:00,533.530029296875,534.6900024414062,533.530029296875,534.6199951171875,241082
2025-07-31 19:00:00+00:00,533.5700073242188,534.2299194335938,533.4199829101562,533.5999755859375,236028
2025-07-31 19:05:00+00:00,533.8499755859375,534.2750244140625,533.3507080078125,533.5349731445312,254500
2025-07-31 19:10:00+00:00,532.8400268554688,534.2399291992188,532.7449951171875,533.8300170898438,252750
2025-07-31 19:15:00+00:00,532.9498901367188,533.1500244140625,532.6400146484375,532.8150024414062,243771
2025-07-31 19:20:00+00:00,532.64501953125,533.2570190429688,532.530029296875,532.97998046875,311982
2025-07-31 19:25:00+00:00,532.2100219726562,533.010009765625,532.2000122070312,532.6400146484375,332194
2025-07-31 19:30:00+00:00,532.6500244140625,533.0999755859375,531.9000244140625,532.2449951171875,424830
2025-07-31 19:35:00+00:00,532.3049926757812,532.9099731445312,532.0499877929688,532.64501953125,438247
2025-07-31 19:40:00+00:00,534.6749877929688,535.2000122070312,532.3300170898438,532.3300170898438,611909
2025-07-31 19:45:00+00:00,533.655029296875,534.7177734375,533.0,534.6599731445312,528465
2025-07-31 19:50:00+00:00,532.8701171875,534.5700073242188,532.780029296875,533.5999755859375,757770
2025-07-31 19:55:00+00:00,533.5650024414062,534.1900024414062,532.3099975585938,532.9299926757812,2187022
2025-08-01 13:30:00+00:00,531.2899780273438,535.7999877929688,530.3200073242188,535.3150024414062,2232960
2025-08-01 13:35:00+00:00,530.6950073242188,531.8599853515625,530.0,531.2899780273438,577468
2025-08-01 13:40:00+00:00,530.655029296875,532.60498046875,530.2000122070312,530.6599731445312,713810
2025-08-01 13:45:00+00:00,529.780029296875,530.8599853515625,528.989990234375,530.655029296875,559370
2025-08-01 13:50:00+00:00,528.9099731445312,530.0899047851562,528.4700927734375,529.7999877929688,477935
2025-08-01 13:55:00+00:00,529.4749755859375,530.0,528.340087890625,528.77001953125,425294
2025-08-01 14:00:00+00:00,529.4349975585938,530.3300170898438,527.8499755859375,529.6099853515625,633960
2025-08-01 14:05:00+00:00,528.1649780273438,529.625,527.5,529.4650268554688,365405
2025-08-01 14:10:00+00:00,527.3699951171875,528.6500244140625,527.2899780273438,528.0700073242188,332873
2025-08-01 14:15:00+00:00,527.1699829101562,527.6300048828125,526.8300170898438,527.3400268554688,504209
2025-08-01 14:20:00+00:00,528.0399780273438,528.25,527.0800170898438,527.1699829101562,478458
2025-08-01 14:25:00+00:00,527.9500122070312,528.27001953125,527.5599975585938,528.030029296875,326588
2025-08-01 14:30:00+00:00,529.1500244140625,529.239990234375,527.530029296875,528.0,576696
2025-08-01 14:35:00+00:00,528.405029296875,529.2498779296875,528.0,529.0850219726562,322630
2025-08-01 14:40:00+00:00,526.739990234375,528.6799926757812,526.6599731445312,528.469970703125,251376
2025-08-01 14:45:00+00:00,526.2050170898438,527.4500122070312,526.1500244140625,527.0,286123
2025-08-01 14:50:00+00:00,526.0667724609375,526.3400268554688,525.5900268554688,526.22998046875,306256
2025-08-01 14:55:00+00:00,525.4600219726562,526.1699829101562,525.1630249023438,526.0549926757812,163324
2025-08-01 15:00:00+00:00,524.659912109375,525.6400146484375,524.4400024414062,525.5850219726562,296840
2025-08-01 15:05:00+00:00,524.510009765625,524.97998046875,524.4600219726562,524.5374755859375,291249
2025-08-01 15:10:00+00:00,524.2000122070312,524.8599243164062,524.0,524.510009765625,218376
2025-08-01 15:15:00+00:00,524.7949829101562,524.9199829101562,524.1699829101562,524.1799926757812,288842
2025-08-01 15:20:00+00:00,523.7449951171875,525.0250244140625,523.6801147460938,524.7645874023438,313833
2025-08-01 15:25:00+00:00,523.625,523.9724731445312,523.3001098632812,523.7349853515625,348748
2025-08-01 15:30:00+00:00,523.0,523.6799926757812,522.6400146484375,523.625,345806
2025-08-01 15:35:00+00:00,523.5499877929688,523.659912109375,522.64501953125,522.9299926757812,197696
2025-08-01 15:40:00+00:00,524.239990234375,524.27001953125,523.47998046875,523.5800170898438,316497
2025-08-01 15:45:00+00:00,524.6099853515625,524.8099975585938,524.1599731445312,524.239990234375,290109
2025-08-01 15:50:00+00:00,523.5800170898438,524.6199951171875,523.4650268554688,524.6199951171875,192169
2025-08-01 15:55:00+00:00,524.27001953125,524.2750244140625,523.0,523.5800170898438,197717
2025-08-01 16:00:00+00:00,524.5499877929688,524.8300170898438,523.9600219726562,524.27001953125,245323
2025-08-01 16:05:00+00:00,524.155029296875,524.8499755859375,524.1199951171875,524.52001953125,273580
2025-08-01 16:10:00+00:00,524.0900268554688,524.3499755859375,523.739990234375,524.1799926757812,245209
2025-08-01 16:15:00+00:00,524.0999755859375,524.1599731445312,523.7501220703125,524.0700073242188,175747
2025-08-01 16:20:00+00:00,524.3499755859375,524.3499755859375,523.6199951171875,524.0435180664062,196181
2025-08-01 16:25:00+00:00,524.280029296875,524.75,524.110107421875,524.3200073242188,240840
2025-08-01 16:30:00+00:00,523.9445190429688,524.2593994140625,523.7999877929688,524.219970703125,295360
2025-08-01 16:35:00+00:00,523.5449829101562,524.1900024414062,523.280029296875,524.0299072265625,180984
2025-08-01 16:40:00+00:00,523.135009765625,523.52001953125,523.02001953125,523.5,212969
2025-08-01 16:45:00+00:00,522.8350219726562,523.1649780273438,522.6749877929688,523.1224975585938,234620
2025-08-01 16:50:00+00:00,521.9000244140625,522.844970703125,521.8499755859375,522.8400268554688,278573
2025-08-01 16:55:00+00:00,521.0449829101562,522.030029296875,520.8900146484375,522.030029296875,300520
2025-08-01 17:00:00+00:00,521.5800170898438,521.677978515625,520.8599853515625,521.030029296875,372230
2025-08-01 17:05:00+00:00,522.0999755859375,522.510009765625,521.3699951171875,521.5100708007812,240544
2025-08-01 17:10:00+00:00,522.0499877929688,522.219970703125,521.8499755859375,522.0399780273438,208309
2025-08-01 17:15:00+00:00,522.7449951171875,522.8499755859375,521.989990234375,522.0,174847
2025-08-01 17:20:00+00:00,522.469970703125,523.1992797851562,522.4500732421875,522.75,370699
2025-08-01 17:25:00+00:00,523.2849731445312,523.2999877929688,522.3311767578125,522.4500122070312,140474
2025-08-01 17:30:00+00:00,523.5800170898438,524.02001953125,523.239990234375,523.239990234375,216747
2025-08-01 17:35:00+00:00,523.1500244140625,523.6146240234375,522.72998046875,523.5900268554688,146614
2025-08-01 17:40:00+00:00,523.1799926757812,523.6300048828125,523.030029296875,523.1699829101562,143311
2025-08-01 17:45:00+00:00,523.3499755859375,523.4000244140625,522.8400268554688,523.114990234375,168647
2025-08-01 17:50:00+00:00,523.6712036132812,523.8800048828125,523.4099731445312,523.4099731445312,140952
2025-08-01 17:55:00+00:00,523.4149780273438,523.7100219726562,523.22998046875,523.6849975585938,191576
2025-08-01 18:00:00+00:00,523.5999145507812,523.760009765625,523.219970703125,523.405029296875,190419
2025-08-01 18:05:00+00:00,522.9099731445312,523.7100219726562,522.4000244140625,523.5700073242188,213162
2025-08-01 18:10:00+00:00,522.969970703125,523.2899780273438,522.6900024414062,522.885009765625,184405
2025-08-01 18:15:00+00:00,523.1599731445312,523.469970703125,522.75,522.969970703125,162102
2025-08-01 18:20:00+00:00,524.1799926757812,524.2100219726562,523.0349731445312,523.1500244140625,183135
2025-08-01 18:25:00+00:00,524.27001953125,524.4299926757812,523.9199829101562,524.1599731445312,208300
2025-08-01 18:30:00+00:00,524.3599853515625,524.85498046875,524.0999755859375,524.2750244140625,208695
