Datetime,googl,googl,googl,googl,googl
2025-08-01 13:55:00+00:00,189.0500030517578,189.5399932861328,188.97999572753906,189.27999877929688,465630
2025-08-01 14:00:00+00:00,188.66000366210938,189.02000427246094,187.82000732421875,189.02000427246094,1098916
2025-08-01 14:05:00+00:00,189.02999877929688,189.0449981689453,188.44000244140625,188.67489624023438,558730
2025-08-01 14:10:00+00:00,189.0800018310547,189.3350067138672,188.99000549316406,189.02000427246094,474961
2025-08-01 14:15:00+00:00,189.07000732421875,189.33999633789062,189.0500030517578,189.08999633789062,501325
2025-08-01 14:20:00+00:00,189.30999755859375,189.3699951171875,188.97000122070312,189.06500244140625,452272
2025-08-01 14:25:00+00:00,189.36000061035156,189.52999877929688,189.14999389648438,189.3000030517578,325473
2025-08-01 14:30:00+00:00,189.44000244140625,189.60000610351562,189.24000549316406,189.3800048828125,503772
2025-08-01 14:35:00+00:00,189.72999572753906,189.99000549316406,189.3699951171875,189.44000244140625,466709
2025-08-01 14:40:00+00:00,189.25999450683594,190.0399932861328,189.22999572753906,189.75999450683594,576440
2025-08-01 14:45:00+00:00,189.05999755859375,189.63999938964844,189.00999450683594,189.27000427246094,384271
2025-08-01 14:50:00+00:00,188.75999450683594,189.17999267578125,188.74009704589844,189.0399932861328,258063
2025-08-01 14:55:00+00:00,188.75,189.00999450683594,188.64500427246094,188.74000549316406,352732
2025-08-01 15:00:00+00:00,188.5,188.77000427246094,188.38999938964844,188.77000427246094,687521
2025-08-01 15:05:00+00:00,188.68930053710938,188.77000427246094,188.44000244140625,188.50999450683594,253632
2025-08-01 15:10:00+00:00,188.52999877929688,188.8699951171875,188.52000427246094,188.67999267578125,340318
2025-08-01 15:15:00+00:00,188.57000732421875,188.8800048828125,188.4199981689453,188.52000427246094,372961
2025-08-01 15:20:00+00:00,188.67999267578125,188.77000427246094,188.4600067138672,188.55999755859375,317006
2025-08-01 15:25:00+00:00,188.58999633789062,188.8800048828125,188.5850067138672,188.67999267578125,324470
2025-08-01 15:30:00+00:00,188.77999877929688,188.87069702148438,188.5449981689453,188.58999633789062,317710
2025-08-01 15:35:00+00:00,189.11500549316406,189.1300048828125,188.72000122070312,188.77499389648438,379760
2025-08-01 15:40:00+00:00,189.2100067138672,189.25999450683594,189.05999755859375,189.1300048828125,324039
2025-08-01 15:45:00+00:00,189.1699981689453,189.33999633789062,189.1300048828125,189.2100067138672,283422
2025-08-01 15:50:00+00:00,189.14999389648438,189.25,189.0,189.17999267578125,214229
2025-08-01 15:55:00+00:00,189.0,189.1699981689453,188.9199981689453,189.14999389648438,174375
2025-08-01 16:00:00+00:00,188.77999877929688,189.02000427246094,188.74000549316406,188.9600067138672,177387
2025-08-01 16:05:00+00:00,188.9499969482422,189.05999755859375,188.74000549316406,188.7899932861328,150261
2025-08-01 16:10:00+00:00,189.0,189.02499389648438,188.7949981689453,188.9600067138672,155171
2025-08-01 16:15:00+00:00,189.06480407714844,189.16000366210938,188.8699951171875,188.9949951171875,226247
2025-08-01 16:20:00+00:00,189.25,189.25669860839844,188.93499755859375,189.05999755859375,183403
2025-08-01 16:25:00+00:00,188.98500061035156,189.42999267578125,188.98500061035156,189.25999450683594,169980
2025-08-01 16:30:00+00:00,189.10000610351562,189.10000610351562,188.875,188.97999572753906,826002
2025-08-01 16:35:00+00:00,188.8699951171875,189.10040283203125,188.80999755859375,189.10000610351562,144300
2025-08-01 16:40:00+00:00,188.69500732421875,188.8699951171875,188.67999267578125,188.86000061035156,142618
2025-08-01 16:45:00+00:00,188.4499969482422,188.8300018310547,188.3885955810547,188.69500732421875,309734
2025-08-01 16:50:00+00:00,188.3300018310547,188.51499938964844,188.27999877929688,188.46499633789062,176010
2025-08-01 16:55:00+00:00,188.039306640625,188.38499450683594,187.91000366210938,188.3300018310547,374585
2025-08-01 17:00:00+00:00,188.02999877929688,188.24000549316406,187.875,188.0399932861328,215092
