Datetime,aapl,aapl,aapl,aapl,aapl
2025-07-31 17:55:00+00:00,208.32000732421875,208.55470275878906,208.1490020751953,208.49000549316406,376511
2025-07-31 18:00:00+00:00,208.39999389648438,208.55999755859375,208.27999877929688,208.2949981689453,338457
2025-07-31 18:05:00+00:00,208.0050048828125,208.42860412597656,207.9600067138672,208.4199981689453,536630
2025-07-31 18:10:00+00:00,208.02999877929688,208.2100067138672,207.9199981689453,208.00999450683594,381729
2025-07-31 18:15:00+00:00,207.85499572753906,208.05999755859375,207.58999633789062,208.02999877929688,642615
2025-07-31 18:20:00+00:00,208.24029541015625,208.33999633789062,207.77999877929688,207.8699951171875,523766
2025-07-31 18:25:00+00:00,208.61000061035156,208.76980590820312,208.1999969482422,208.25,528982
2025-07-31 18:30:00+00:00,208.6699981689453,208.8699951171875,208.55999755859375,208.61000061035156,504376
2025-07-31 18:35:00+00:00,208.6699981689453,208.7899932861328,208.5399932861328,208.64999389648438,384438
2025-07-31 18:40:00+00:00,208.92999267578125,209.02999877929688,208.61239624023438,208.6699981689453,574224
2025-07-31 18:45:00+00:00,208.94000244140625,209.25,208.91000366210938,208.92999267578125,437349
2025-07-31 18:50:00+00:00,208.860107421875,209.05499267578125,208.7550048828125,208.93499755859375,361441
2025-07-31 18:55:00+00:00,208.94000244140625,209.0500030517578,208.7100067138672,208.875,421060
2025-07-31 19:00:00+00:00,209.2100067138672,209.27000427246094,208.9373016357422,208.99000549316406,557810
2025-07-31 19:05:00+00:00,209.11300659179688,209.27999877929688,209.05999755859375,209.2100067138672,488084
2025-07-31 19:10:00+00:00,208.7799072265625,209.38429260253906,208.72999572753906,209.11000061035156,748120
2025-07-31 19:15:00+00:00,208.9799041748047,209.07000732421875,208.5500030517578,208.77000427246094,523363
2025-07-31 19:20:00+00:00,208.67999267578125,209.04930114746094,208.6300048828125,208.97999572753906,459316
2025-07-31 19:25:00+00:00,208.5699005126953,208.7949981689453,208.49000549316406,208.67999267578125,570321
2025-07-31 19:30:00+00:00,208.78500366210938,208.85000610351562,208.53500366210938,208.57000732421875,571052
2025-07-31 19:35:00+00:00,208.4199981689453,208.82000732421875,208.4199981689453,208.77999877929688,604004
2025-07-31 19:40:00+00:00,208.6699981689453,208.77000427246094,208.39999389648438,208.4250030517578,763035
2025-07-31 19:45:00+00:00,208.02000427246094,208.77999877929688,207.92999267578125,208.67250061035156,793362
2025-07-31 19:50:00+00:00,207.5,208.19000244140625,207.2899932861328,207.97999572753906,1761752
2025-07-31 19:55:00+00:00,207.61000061035156,208.07000732421875,207.16000366210938,207.52000427246094,3753248
2025-08-01 13:30:00+00:00,211.82000732421875,213.5800018310547,210.08999633789062,210.83999633789062,7631730
2025-08-01 13:35:00+00:00,210.1750030517578,212.27000427246094,210.0500030517578,211.7899932861328,2607406
2025-08-01 13:40:00+00:00,208.19500732421875,210.1999969482422,208.17999267578125,210.1649932861328,2856192
2025-08-01 13:45:00+00:00,207.10699462890625,208.4499969482422,206.72000122070312,208.1999969482422,2600964
2025-08-01 13:50:00+00:00,207.3000030517578,207.64500427246094,206.27999877929688,207.10000610351562,1896926
